Depth,Rate Frac1,Rate Frac2,Rate Frac3,Rate Frac4,Rate Frac5,Fragments Frac3,Fragments Frac5
1523,1.7,14.9,14.4,20.7,53.7,20,30.4
2298,0.7,3.9,10.1,7.2,13.9,25.4,20.7
2734,1.8,3.9,9.1,10.3,12.63,26.5,21.4
3031,1.3,3.5,6.1,6.4,9.5,25.1,34.3
3213,1.9,5,6.5,6.4,6.4,31.3,29.7
3393,2.2,6.6,6.4,9.5,22.4,29.6,29.5
3574,1.9,6.6,7.6,7.7,18.2,30.1,36.4
3742,2.3,7.2,8.3,4.8,14.7,40.6,38.9
3838,3.6,9.9,20.5,10.2,24.7,39.9,26.4
3934,4.1,10.4,19.1,19.9,24.1,40.3,37.4
4030,6.2,10.8,15.6,22.2,31,37.5,38.4
4216,5.9,13.9,32.5,14.7,36.8,76,41.2
4312,11,48.7,35.5,47.9,24.6,74.7,31.2
